,ticker,yearReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period
0,REE,2024,2687606595302,1298493472359,94886966817,13364760,-1003614453438,741806839468,3819192785268,704235820854,29619952766,263174380566,-5371378459,-737213140244,-279896384824,0,-10215797049,3783526238878,-1035028113142,5175257443,-457654000000,543767074399,-303795229453,173730186148,1278528100055,204723275450,27719600000,0,3451719075110,-3827973059400,-1026622785445,-1375157169735,2613092344593,3022796235406,20276766,5635908856765
1,REE,2023,3056093471161,1263900546872,267350820613,34472956246,-1083636292497,942709678643,4480891181038,-221106816050,20591662150,-137175149477,-21903042545,-990741225104,-371511766178,0,-12519462688,2816770167812,-872514449262,15367159007,-698730018799,1370333767972,-278605442466,31812164601,1074670421285,642333602338,0,0,2888594167274,-3589767945216,-886399583241,-1587573361183,1871530408967,1151270686145,-4859706,3022796235406
2,REE,2022,3878561080509,1225256688185,98981408043,42356802295,-1130009949164,887764661798,5002910691666,-770938229468,-622597956965,126007195458,300652623,-1072711718881,-358545104131,0,-18153481873,1569132786521,-738142358399,27429467640,-2155043943572,2114067604767,-738141142458,0,721597119576,-768233252446,1471000000,0,1826974238896,-2734496023082,-574485123284,-1480535907470,-679636373395,1830901134902,5924638,1151270686145
3,REE,2021,2399829028939,892746007729,18405779937,-54068058823,-1163257560126,673223734156,2766878931812,29622920119,77638886518,-854110675499,-98627188150,-514814557208,-230330263598,0,-12082946322,1524603475394,-3912258818254,961598341,-903739312954,1489286994839,-224284358055,246797500808,1290727765581,-2012508629694,121000000000,0,3971732695581,-2340106444858,-85585440392,1667040810331,1179135656031,651668665185,96813686,1830901134902
4,REE,2020,1923585472508,321516852418,23057787014,51724431455,-1115999082558,421839558764,1625725019601,-507285025290,186108698029,-115930321718,29471583628,-427365493651,-203381487208,0,-5932753593,612823527533,-1393880720427,2853634811,-2814042019109,2717433449280,-103299516724,81082703369,683146958899,-826705509901,62300000000,-47539203502,1920933807883,-2005392975633,-604308347572,-674006718824,-887888701192,1539577051904,-19685527,651668665185
5,REE,2019,1920209997754,182619094137,-37003997619,141521813,-1347443791133,414430399740,1132953224692,175702405592,-14174271360,-400449323299,-20560864119,-346041185706,-214277709308,0,-1837377137,319175024284,-294605829139,1752438739,-4381785303626,3796298251250,-1730505012641,195299938209,783822334538,-1629723182670,0,0,3926785787029,-2321738662040,-619965858741,985081266248,-325466892138,1865096744967,-52800925,1539577051904
6,REE,2018,2118013069944,161304336971,-181821279821,180374946,-1298328721279,226511404624,1025859185385,-729468253445,596222869695,-283282208763,-27644764928,-221359370826,-236725059088,0,-2891980522,90244160290,-340011526865,1239262329,-1419234830053,794654665938,-388380606838,430672248754,700796087043,-220264699692,15400000,0,1921237150531,-1722158019464,-601660154901,-402565623834,-532586163236,2397186656336,496251867,1865096744967
7,REE,2017,1721146987668,130117592892,63225518370,283085334,-888644411692,105038480959,1131167253531,-98125315856,-324108158842,446401981212,-8409967512,-77752013548,-213176973549,0,-4334703727,992245414986,-584268632523,6140854545,-496990474641,664995567499,-911286395924,110587344523,729303869657,-481517866864,36495030000,0,3907006736414,-2420367560483,-597101775379,926032430552,1436759978674,960027120496,399557166,2397186656336
8,REE,2016,1375753903562,139556922833,-7712055856,279701943,-560022215192,60159491918,1008015749208,363330491806,-503435522301,93699495376,-37461055996,-61588808779,-174955858960,0,-6878773299,680524532941,-308556037351,1942651903,-872525927146,522205157790,-1310081335158,214407563895,548279635866,-1204328290201,0,-11728344619,2167680325752,-1797111383439,-293364286368,65476311326,-458327445934,1419715236964,-1360670534,960027120496
9,REE,2015,1045676170298,132711178140,8470325013,-29384453,-462961096007,73966770226,797833963217,-399947031088,54421559228,613729879113,-1040896951,-66506325422,-153862103327,0,-5618070076,774486261423,-326469653033,3706954546,0,0,-485280899029,177589071931,457443378032,-173011147553,1000000000,0,1122289465263,-833889827792,-509787632500,-220387995029,381087118841,1036655683725,1972434398,1419715236964
10,REE,2014,1262427405945,57142979454,-26958372500,1641418011,-594250751529,37413873577,737416552958,165139239453,-47679560051,36370012578,940445132,-36526554548,-154693391896,0,-8573393193,648780704483,-43664421700,219087175,0,0,-977693752972,637844214803,360857087016,-22437785678,32680000000,0,1919287633520,-1656149114188,-419830953186,-124012433854,502330484951,535795614565,-1470415791,1036655683725
11,REE,2013,1087556959984,61183861575,36502068928,4239193028,-746415509982,57146113236,500212686769,-196564955208,-71827049161,-89544387364,2449482485,-59387709813,-105590344890,12027638284,-32467839483,-40692478381,-10269416267,614909090,0,0,-1633509317419,1278147947278,320868857243,-44147020075,5173576591,0,821227119988,-652851999145,-386733996880,-213185299446,-298024797902,834707800990,-887388523,535795614565
