,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
ticker,REE,REE,REE,REE,REE,REE,REE,REE,REE,REE,REE,REE
Net Profit/Loss before tax,2687606595302,3056093471161,3878561080509,2399829028939,1923585472508,1920209997754,2118013069944,1721146987668,1375753903562,1045676170298,1262427405945,1087556959984
Depreciation and Amortisation,1298493472359,1263900546872,1225256688185,892746007729,321516852418,182619094137,161304336971,130117592892,139556922833,132711178140,57142979454,61183861575
Provision for credit losses,94886966817,267350820613,98981408043,18405779937,23057787014,-37003997619,-181821279821,63225518370,-7712055856,8470325013,-26958372500,36502068928
Unrealized foreign exchange gain/loss,13364760,34472956246,42356802295,-54068058823,51724431455,141521813,180374946,283085334,279701943,-29384453,1641418011,4239193028
Profit/Loss from investing activities,-1003614453438,-1083636292497,-1130009949164,-1163257560126,-1115999082558,-1347443791133,-1298328721279,-888644411692,-560022215192,-462961096007,-594250751529,-746415509982
Interest Expense,741806839468,942709678643,887764661798,673223734156,421839558764,414430399740,226511404624,105038480959,60159491918,73966770226,37413873577,57146113236
Operating profit before changes in working capital,3819192785268,4480891181038,5002910691666,2766878931812,1625725019601,1132953224692,1025859185385,1131167253531,1008015749208,797833963217,737416552958,500212686769
Increase/Decrease in receivables,704235820854,-221106816050,-770938229468,29622920119,-507285025290,175702405592,-729468253445,-98125315856,363330491806,-399947031088,165139239453,-196564955208
Increase/Decrease in inventories,29619952766,20591662150,-622597956965,77638886518,186108698029,-14174271360,596222869695,-324108158842,-503435522301,54421559228,-47679560051,-71827049161
Increase/Decrease in payables,263174380566,-137175149477,126007195458,-854110675499,-115930321718,-400449323299,-283282208763,446401981212,93699495376,613729879113,36370012578,-89544387364
Increase/Decrease in prepaid expenses,-5371378459,-21903042545,300652623,-98627188150,29471583628,-20560864119,-27644764928,-8409967512,-37461055996,-1040896951,940445132,2449482485
Interest paid,-737213140244,-990741225104,-1072711718881,-514814557208,-427365493651,-346041185706,-221359370826,-77752013548,-61588808779,-66506325422,-36526554548,-59387709813
Business Income Tax paid,-279896384824,-371511766178,-358545104131,-230330263598,-203381487208,-214277709308,-236725059088,-213176973549,-174955858960,-153862103327,-154693391896,-105590344890
Other receipts from operating activities,0,0,0,0,0,0,0,0,0,0,0,12027638284
Other payments on operating activities,-10215797049,-12519462688,-18153481873,-12082946322,-5932753593,-1837377137,-2891980522,-4334703727,-6878773299,-5618070076,-8573393193,-32467839483
Net cash inflows/outflows from operating activities,3783526238878,2816770167812,1569132786521,1524603475394,612823527533,319175024284,90244160290,992245414986,680524532941,774486261423,648780704483,-40692478381
Purchase of fixed assets,-1035028113142,-872514449262,-738142358399,-3912258818254,-1393880720427,-294605829139,-340011526865,-584268632523,-308556037351,-326469653033,-43664421700,-10269416267
Proceeds from disposal of fixed assets,5175257443,15367159007,27429467640,961598341,2853634811,1752438739,1239262329,6140854545,1942651903,3706954546,219087175,614909090
"Loans granted, purchases of debt instruments (Bn. VND)",-457654000000,-698730018799,-2155043943572,-903739312954,-2814042019109,-4381785303626,-1419234830053,-496990474641,-872525927146,0,0,0
"Collection of loans, proceeds from sales of debts instruments (Bn. VND)",543767074399,1370333767972,2114067604767,1489286994839,2717433449280,3796298251250,794654665938,664995567499,522205157790,0,0,0
Investment in other entities,-303795229453,-278605442466,-738141142458,-224284358055,-103299516724,-1730505012641,-388380606838,-911286395924,-1310081335158,-485280899029,-977693752972,-1633509317419
Proceeds from divestment in other entities,173730186148,31812164601,0,246797500808,81082703369,195299938209,430672248754,110587344523,214407563895,177589071931,637844214803,1278147947278
Gain on Dividend,1278528100055,1074670421285,721597119576,1290727765581,683146958899,783822334538,700796087043,729303869657,548279635866,457443378032,360857087016,320868857243
Net Cash Flows from Investing Activities,204723275450,642333602338,-768233252446,-2012508629694,-826705509901,-1629723182670,-220264699692,-481517866864,-1204328290201,-173011147553,-22437785678,-44147020075
Increase in charter captial,27719600000,0,1471000000,121000000000,62300000000,0,15400000,36495030000,0,1000000000,32680000000,5173576591
Payments for share repurchases,0,0,0,0,-47539203502,0,0,0,-11728344619,0,0,0
Proceeds from borrowings,3451719075110,2888594167274,1826974238896,3971732695581,1920933807883,3926785787029,1921237150531,3907006736414,2167680325752,1122289465263,1919287633520,821227119988
Repayment of borrowings,-3827973059400,-3589767945216,-2734496023082,-2340106444858,-2005392975633,-2321738662040,-1722158019464,-2420367560483,-1797111383439,-833889827792,-1656149114188,-652851999145
Dividends paid,-1026622785445,-886399583241,-574485123284,-85585440392,-604308347572,-619965858741,-601660154901,-597101775379,-293364286368,-509787632500,-419830953186,-386733996880
Cash flows from financial activities,-1375157169735,-1587573361183,-1480535907470,1667040810331,-674006718824,985081266248,-402565623834,926032430552,65476311326,-220387995029,-124012433854,-213185299446
Net increase/decrease in cash and cash equivalents,2613092344593,1871530408967,-679636373395,1179135656031,-887888701192,-325466892138,-532586163236,1436759978674,-458327445934,381087118841,502330484951,-298024797902
Cash and cash equivalents,3022796235406,1151270686145,1830901134902,651668665185,1539577051904,1865096744967,2397186656336,960027120496,1419715236964,1036655683725,535795614565,834707800990
Foreign exchange differences Adjustment,20276766,-4859706,5924638,96813686,-19685527,-52800925,496251867,399557166,-1360670534,1972434398,-1470415791,-887388523
Cash and Cash Equivalents at the end of period,5635908856765,3022796235406,1151270686145,1830901134902,651668665185,1539577051904,1865096744967,2397186656336,960027120496,1419715236964,1036655683725,535795614565
