,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Revenue (Bn. VND),8394604176003,8579347840237,9377949892489,5815207697974,5644088890450,4896700913533,5104605853407,4999235436523,3663193468551,2645193904607,2630675383788,2414569501626
Attribute to parent company (Bn. VND),1993385852649,2188316658468,2692516590418,1855079628131,1628076208584,1638893522530,1783971852557,1377087391977,1093237014487,853082411270,1061971178941,975819282949
Attribute to parent company YoY (%),-0.08907797007562308,-0.18725973081997813,0.4514291190458067,0.1394304629906935,-0.006600376288815303,-0.08132321696615141,0.2954674212766271,0.2596421212679086,0.28151395462423995,-0.19669909298226373,0.08828673248969053,0.0
Financial Income,317755694465,227055551430,186791709886,466044378716,221805860261,441971991367,303525295129,174539941233,176056435309,427537034206,459521649291,352660891530
Interest Expenses,-737977126660,-938879965835,-882746948990,-663213132564,-416425845956,-409016686932,-224927404624,-104642480959,-60159491918,-73966770226,-37413873577,-57146113236
Sales,8394604176003,8579347840237,9377949892489,5815207697974,5644088890450,4896700913533,5104605853407,4999235436523,3663193468551,2645193904607,2630675383788,2414569501626
Sales deductions,-10937574789,-9429498460,-6022115163,-5396769153,-4336164483,-6869088157,-3950856432,-4062020590,-3830862783,-1809966948,-1288909410,-1162516333
Net Sales,8383666601214,8569918341777,9371927777326,5809810928821,5639752725967,4889831825376,5100654996975,4995173415933,3659362605768,2643383937659,2629386474378,2413406985293
Cost of Sales,-5259571562464,-4859979570703,-5042144068004,-3499780319487,-4033887057177,-3643618854408,-3872581352224,-3565774555516,-2477729281879,-1752125471255,-1826827161061,-1810301703227
Gross Profit,3124095038750,3709938771074,4329783709322,2310030609334,1605865668790,1246212970968,1228073644751,1429398860417,1181633323889,891258466404,802559313317,603105282066
Financial Expenses,-790736452795,-1016426708380,-941632842257,-707477013541,-474525519610,-385656317468,-111471248186,-274779324595,-67669374018,-81044689862,-42150610779,-86225910092
Gain/(loss) from joint ventures,717040007469,877175804311,1077442346189,774158791759,914775593286,907105798666,998823994253,718931362177,387845081442,37341188849,166498965580,0
Selling Expenses,-118200239690,-92540436139,-88908329412,-85073572183,-82735361072,-78371474365,-98584137794,-94594129849,-89024177119,-54475770672,-45371054248,-49602600291
General & Admin Expenses,-577607076180,-663075670866,-577624360997,-370461124107,-283713770081,-221581896835,-214709679120,-241824868262,-220293412913,-181831941787,-131322486521,-166177547374
Operating Profit/Loss,2672346972019,3042127311430,3985852232731,2387222069978,1901472471574,1909681072333,2105657869033,1711671841121,1368547876590,1038784287138,1209735776640,653760115839
Other income,34414819717,21973706432,43804003691,24734212639,28781973202,25841108227,21940218216,18608033177,15277085939,9651522166,60555687327,7675485635
Net income from associated companies,0,0,0,0,0,0,0,0,0,0,0,428675939326
Other Income/Expenses,-19155196434,-8007546701,-151095155913,-12127253678,-6668972268,-15312182806,-9585017305,-9132886630,-8071058967,-2759639006,-7864058022,-2554580816
Net other income/expenses,15259623283,13966159731,-107291152222,12606958961,22113000934,10528925421,12355200911,9475146547,7206026972,6891883160,52691629305,5120904819
Profit before tax,2687606595302,3056093471161,3878561080509,2399829028939,1923585472508,1920209997754,2118013069944,1721146987668,1375753903562,1045676170298,1262427405945,1087556959984
Business income tax - current,-297477543790,-292077673699,-370027518385,-270987968658,-205948240596,-213396134022,-226730110093,-192154568194,-214935033326,-146541395940,-170939086266,-122072887315
Business income tax - deferred,5871203737,22642266759,6843413041,6569186967,-4135453010,13110506884,-6524321167,-6167238721,12840333566,-11047960673,7165185877,10270124969
Net Profit For the Year,2396000255249,2786658064221,3515376975165,2135410247248,1713501778902,1719924370616,1884758638684,1522825180753,1173659203802,888086813685,1098653505556,975754197638
Minority Interest,402614402600,598341405753,822860384747,280330619117,85425570318,81030848086,100786786127,145737788776,80422189315,35004402415,36682326615,-65085311
Attributable to parent company,1993385852649,2188316658468,2692516590418,1855079628131,1628076208584,1638893522530,1783971852557,1377087391977,1093237014487,853082411270,1061971178941,975819282949
