item,item_id,2025,2024,2023,2022
A. TÀI SẢN,assets,,,,
"I. Tiền mặt, vàng bạc, đá quý",i.cash_gold_and_silver_precious_stones,8624548000.0,5696449000.0,6909300000.0,8460892000.0
II. Tiền gửi tại NHNN,ii.balances_with_the_state_bank_of_vietnam,16574958000.0,25219753000.0,18504814000.0,13657531000.0
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",iii.placements_at_and_loans_to_other_credit_institutions,149990681000.0,117882259000.0,114873931000.0,85971313000.0
"1. Tiền, vàng gửi tại các TCTD khác",n_1.placements_at_other_credit_institutions,149990681000.0,117781280000.0,114644002000.0,82338762000.0
2. Cho vay các TCTD khác,n_2.loans_to_other_credit_institutions,,150979000.0,279929000.0,3682551000.0
3. Dự phòng rủi ro cho vay các TCTD khác ,n_3.provisions_for_losses_and_risks,,-50000000.0,-50000000.0,-50000000.0
IV. Chứng khoán kinh doanh,iv.trading_securities,6544882000.0,3881151000.0,7177069000.0,1131327000.0
1. Chứng khoán kinh doanh ,n_1.trading_securities,6708358000.0,4029088000.0,7323489000.0,1320941000.0
2. Dự phòng giảm giá chứng khoán kinh doanh ,n_2.provisions_for_diminution_in_value_of_trading_securities,-163476000.0,-147937000.0,-146420000.0,-189614000.0
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,v.derivatives_and_other_financial_assets,324298000.0,55992000.0,,100072000.0
VI. Cho vay khách hàng,vi.loans_advances_and_finance_leases_to_customers,679152623000.0,573946692000.0,482234900000.0,408856508000.0
1. Cho vay và cho thuê tài chính khách hàng,n_1.loans_advances_and_finance_leases_to_customers,686777352000.0,580686248000.0,487601852000.0,413706244000.0
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng ,n_2.provisions_for_losses_on_loans_advances_and_finance_leases_to_customers,-7624729000.0,-6739556000.0,-5366952000.0,-4849736000.0
VII. Hoạt động mua nợ,vii.debt_purchased,,,,
1. Mua nợ,n_1.debt_purchased,,,,
2. Dự phòng rủi ro hoạt động mua nợ,n_2.provision_for_debt_purchased,,,,
VIII. Chứng khoán đầu tư,viii.investment_securities,144164116000.0,121090243000.0,73463347000.0,75534794000.0
