item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
"Tiền mặt, vàng bạc, đá quý",Cash and precious metals,bsa2,8624548000000.0,5696449000000.0,6909300000000.0,8460892000000.0,7509877000000.0,6967918000000.0,6437812000000.0,6129169000000.0
Tài sản cố định,Fixed assets,bsa29,5438550000000.0,5412370000000.0,4762561000000.0,3981376000000.0,3762548000000.0,3782753000000.0,3770219000000.0,3233388000000.0
Tài sản cố định hữu hình,Tangible fixed assets,bsa30,3200487000000.0,3222198000000.0,3317568000000.0,2849732000000.0,2685070000000.0,2716915000000.0,2721100000000.0,2640643000000.0
Nguyên giá TSCĐ hữu hình,Cost,bsa31,6806108000000.0,6504276000000.0,6256911000000.0,5523787000000.0,5123414000000.0,4949479000000.0,4737359000000.0,4414779000000.0
Hao mòn TSCĐ hữu hình,Accumulated depreciation,bsa32,-3605621000000.0,-3282078000000.0,-2939343000000.0,-2674055000000.0,-2438344000000.0,-2232564000000.0,-2016259000000.0,-1774136000000.0
Tài sản cố định thuê tài chính,Finance leased assets,bsa33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyên giá TSCĐ thuê tài chính,Cost,bsa34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hao mòn TSCĐ thuê tài chính,Accumulated depreciation,bsa35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tài sản cố định vô hình,Intangible fixed assets,bsa36,2238063000000.0,2190172000000.0,1444993000000.0,1131644000000.0,1077478000000.0,1065838000000.0,1049119000000.0,592745000000.0
Nguyên giá TSCĐ vô hình,Cost,bsa37,3117527000000.0,2950265000000.0,2101677000000.0,1709488000000.0,1579813000000.0,1495882000000.0,1409414000000.0,894744000000.0
Hao mòn TSCĐ vô hình,Accumulated amortization,bsa38,-879464000000.0,-760093000000.0,-656684000000.0,-577844000000.0,-502335000000.0,-430044000000.0,-360295000000.0,-301999000000.0
Bất động sản đầu tư,Investment properties,bsa40,149673000000.0,177005000000.0,177005000000.0,177005000000.0,216027000000.0,348778000000.0,361676000000.0,247454000000.0
Nguyên giá bất động sản đầu tư,Historical cost,bsa41,149692000000.0,177005000000.0,177005000000.0,177005000000.0,216027000000.0,356358000000.0,364877000000.0,249749000000.0
Hao mòn bất động sản đầu tư,Accumulated depreciation,bsa42,-19000000.0,0.0,0.0,0.0,0.0,-7580000000.0,-3201000000.0,-2295000000.0
"Góp vốn, đầu tư dài hạn",Investment in other entities and long term investments,bsa43,74699000000.0,124935000000.0,140025000000.0,146814000000.0,171925000000.0,99489000000.0,97884000000.0,155975000000.0
Đầu tư vào công ty con,Investment in subsidiaries,bsa44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đầu tư vào công ty liên doanh,Investment in associate companies,bsa45,0.0,0.0,0.0,0.0,0.0,2967000000.0,1441000000.0,1398000000.0
Đầu tư dài hạn khác,Other Long-term investments,bsa46,233739000000.0,292867000000.0,303387000000.0,303387000000.0,299317000000.0,101827000000.0,101827000000.0,159927000000.0
Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments,bsa47,-159040000000.0,-167932000000.0,-163362000000.0,-156573000000.0,-127392000000.0,-5305000000.0,-5384000000.0,-5350000000.0
TỔNG TÀI SẢN,TOTAL ASSETS,bsa53,1025850127000000.0,864005703000000.0,718794589000000.0,607875185000000.0,527769944000000.0,444530104000000.0,383514439000000.0,329333241000000.0
TỔNG NỢ PHẢI TRẢ,TOTAL LIABILITIES,bsa54,931330408000000.0,780544025000000.0,647838628000000.0,549436522000000.0,482869035000000.0,409081941000000.0,355749080000000.0,308315342000000.0
VỐN CHỦ SỞ HỮU,OWNER'S EQUITY,bsa78,94519719000000.0,83461678000000.0,70955961000000.0,58438663000000.0,44900909000000.0,35448163000000.0,27765359000000.0,21017899000000.0
Vốn điều lệ,Charter capital,bsa80,51366566000000.0,44666579000000.0,38840504000000.0,33774351000000.0,27019481000000.0,21615585000000.0,16627373000000.0,12885877000000.0
Thặng dư vốn cổ phần,Capital surplus,bsa81,271779000000.0,271779000000.0,271779000000.0,271779000000.0,271779000000.0,271779000000.0,271779000000.0,0.0
Vốn khác,Owner's other capital,bsa82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cổ phiếu Quỹ,Treasury shares,bsa83,0.0,0.0,0.0,0.0,0.0,0.0,-99981000000.0,-665725000000.0
Chênh lệch đánh giá lại tài sản,Difference upon assets revaluation,bsa84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chênh lệch tỷ giá hối đoái,Foreign currency difference reserve,bsa85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận chưa phân phối,Retained Earnings,bsa90,25298313000000.0,23733752000000.0,20286243000000.0,15172408000000.0,10445352000000.0,7819040000000.0,6370286000000.0,5104678000000.0
Lợi ích của cổ đông thiểu số (trước 2015),Minority interest (Before 2015),bsa95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,LIABILITIES AND SHAREHOLDER'S EQUITY,bsa96,1025850127000000.0,864005703000000.0,718794589000000.0,607875185000000.0,527769944000000.0,444530104000000.0,383514439000000.0,329333241000000.0
Tiền gửi tại Ngân hàng nhà nước Việt Nam,Balances with the SBV,bsb97,16574958000000.0,25219753000000.0,18504814000000.0,13657531000000.0,32349574000000.0,16616798000000.0,10420306000000.0,10683536000000.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Placements with and loans to other credit institutions,bsb98,149990681000000.0,117882259000000.0,114873931000000.0,85971313000000.0,49818776000000.0,31671245000000.0,30341599000000.0,18769776000000.0
Chứng khoán kinh doanh,"Trading securities, net",bsb99,6544882000000.0,3881151000000.0,7177069000000.0,1131327000000.0,11259731000000.0,6167917000000.0,2985262000000.0,1177972000000.0
Chứng khoán kinh doanh,Trading securities,bsb100,6708358000000.0,4029088000000.0,7323489000000.0,1320941000000.0,11325371000000.0,6285763000000.0,3145903000000.0,1339157000000.0
Dự phòng giảm giá chứng khoán kinh doanh,Less: Provision for diminution in value of trading securities,bsb101,-163476000000.0,-147937000000.0,-146420000000.0,-189614000000.0,-65640000000.0,-117846000000.0,-160641000000.0,-161185000000.0
