item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax,isa16,19538776000000.0,21005871000000.0,20067999000000.0,17114208000000.0,11998112000000.0,9595888000000.0,7515936000000.0,6388571000000.0
Chi phí thuế TNDN hiện hành,Business income tax - current,isa17,-3914022000000.0,-4199699000000.0,-3993022000000.0,-3445611000000.0,-2389079000000.0,-1940681000000.0,-1463537000000.0,-1299419000000.0
Chi phí thuế TNDN hoãn lại,Business income tax - deferred,isa18,-55000000.0,-16404000000.0,-30244000000.0,19596000000.0,-6287000000.0,27616000000.0,-42462000000.0,47900000000.0
Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses,isa19,-3914077000000.0,-4216103000000.0,-4023266000000.0,-3426015000000.0,-2395366000000.0,-1913065000000.0,-1505999000000.0,-1251519000000.0
Lợi nhuận sau thuế,Net profit/(loss) after tax,isa20,15624699000000.0,16789768000000.0,16044733000000.0,13688193000000.0,9602746000000.0,7682823000000.0,6009937000000.0,5137052000000.0
Lợi ích của cổ đông thiểu số,Minority interest,isa21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cổ đông của Công ty mẹ,Attributable to parent company,isa22,15624699000000.0,16789768000000.0,16044733000000.0,13688193000000.0,9602746000000.0,7682823000000.0,6009937000000.0,5137052000000.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),isa23,3022.0,3669.0,3559.0,3486.0,2799.0,2808.0,2780.0,3076.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),isa24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income,isb25,58755829000000.0,50902749000000.0,52346796000000.0,40698834000000.0,33713810000000.0,31855748000000.0,28317522000000.0,24015362000000.0
Chi phí lãi và các chi phí tương tự,Interest and Similar Expenses,isb26,-31850134000000.0,-23108047000000.0,-27387226000000.0,-17165305000000.0,-14769018000000.0,-17273625000000.0,-16205362000000.0,-13652442000000.0
Thu nhập lãi thuần,Net Interest Income,isb27,26905695000000.0,27794702000000.0,24959570000000.0,23533529000000.0,18944792000000.0,14582123000000.0,12112160000000.0,10362920000000.0
Thu nhập từ dịch vụ,Fees and Commission Income,isb28,5196123000000.0,5464958000000.0,4945751000000.0,5057559000000.0,4026460000000.0,2803484000000.0,2708759000000.0,2094599000000.0
Chi phí dịch vụ,Fees and Commission Expenses,isb29,-2049383000000.0,-2226173000000.0,-2023414000000.0,-1531315000000.0,-1132497000000.0,-1108830000000.0,-812267000000.0,-597073000000.0
Lãi/Lỗ thuần từ hoạt động dịch vụ,Net Fee and Commission Income,isb30,3146740000000.0,3238785000000.0,2922337000000.0,3526244000000.0,2893963000000.0,1694654000000.0,1896492000000.0,1497526000000.0
Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Net gain/(loss) from foreign currency and gold dealings,isb31,1731886000000.0,1170752000000.0,1110105000000.0,1048369000000.0,871556000000.0,687187000000.0,430325000000.0,241390000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Net gain/(loss) from trading of trading securities,isb32,474316000000.0,200357000000.0,168383000000.0,-387873000000.0,449960000000.0,166503000000.0,75206000000.0,-78329000000.0
Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Net gain/(loss) from disposal of investment securities,isb33,396784000000.0,450312000000.0,2647140000000.0,20648000000.0,244051000000.0,732115000000.0,54322000000.0,168534000000.0
Thu nhập khác,Other Income,isb34,2228694000000.0,1266132000000.0,1197217000000.0,1110494000000.0,703159000000.0,495459000000.0,1546194000000.0,1952302000000.0
Chi phí khác,Other Expenses,isb35,-1205407000000.0,-642495000000.0,-333846000000.0,-120800000000.0,-563696000000.0,-215809000000.0,-46054000000.0,-137531000000.0
Lãi/(lỗ) thuần từ hoạt động khác,Net Other income/expenses,isb36,1023287000000.0,623637000000.0,863371000000.0,989694000000.0,139463000000.0,279650000000.0,1500140000000.0,1814771000000.0
Thu nhập từ cổ tức,Dividends Income,isb37,119175000000.0,36214000000.0,75610000000.0,59456000000.0,20212000000.0,19077000000.0,28708000000.0,26387000000.0
Tổng thu nhập hoạt động,Total Operating Income,isb38,33797883000000.0,33514759000000.0,32746516000000.0,28790067000000.0,23563997000000.0,18161309000000.0,16097353000000.0,14033199000000.0
Chi phí quản lý doanh nghiệp,General and Admin Expenses,isb39,-10924359000000.0,-10902603000000.0,-10874286000000.0,-11605045000000.0,-8229776000000.0,-7624268000000.0,-8307596000000.0,-6712217000000.0
Lợi nhuận thuần hoạt động trước khi trích lập dự phòng tổn thất tín dụng,Net Operating Profit Before Allowance for Credit Loss,isb40,22873524000000.0,22612156000000.0,21872230000000.0,17185022000000.0,15334221000000.0,10537041000000.0,7789757000000.0,7320982000000.0
Trích lập dự phòng tổn thất tín dụng,Provision for Credit Losses,isb41,-3334748000000.0,-1606285000000.0,-1804231000000.0,-70814000000.0,-3336109000000.0,-941153000000.0,-273821000000.0,-932411000000.0
