,time,open,high,low,close,volume
0,2024-01-02,48.54,49.21,48.2,48.54,779590
1,2024-01-03,48.54,48.79,48.2,48.62,376152
2,2024-01-04,48.88,49.64,48.54,48.71,899128
3,2024-01-05,48.71,48.79,48.37,48.45,555100
4,2024-01-08,48.45,48.79,47.95,47.95,920506
5,2024-01-09,47.61,47.86,47.27,47.36,1088205
6,2024-01-10,47.52,47.61,46.93,47.1,684484
7,2024-01-11,47.1,47.36,46.93,47.1,430404
8,2024-01-12,47.02,47.1,46.43,46.51,792673
9,2024-01-15,46.51,47.1,46.51,46.6,193593
10,2024-01-16,46.68,47.19,46.34,46.93,311396
11,2024-01-17,46.93,47.61,46.68,47.36,350082
12,2024-01-18,47.44,47.52,46.93,47.02,296824
13,2024-01-19,47.02,47.61,46.85,47.27,288408
14,2024-01-22,47.69,47.69,47.19,47.36,218338
15,2024-01-23,47.36,48.45,47.27,48.03,495237
16,2024-01-24,48.03,48.12,47.52,47.95,232377
17,2024-01-25,47.69,47.95,47.1,47.52,357292
18,2024-01-26,47.36,47.69,47.27,47.44,415943
19,2024-01-29,47.44,47.95,47.36,47.69,338629
20,2024-01-30,47.52,47.78,47.27,47.61,710711
21,2024-01-31,47.86,47.95,47.02,47.27,592351
22,2024-02-01,47.27,47.61,46.68,46.77,886542
23,2024-02-02,46.68,47.36,46.43,46.43,725061
24,2024-02-05,46.68,47.44,46.6,46.85,594933
25,2024-02-06,46.85,47.78,46.85,47.44,610931
26,2024-02-07,47.69,47.86,47.52,47.69,323806
27,2024-02-15,47.78,49.8,47.78,49.21,1291392
28,2024-02-16,49.21,50.48,49.21,49.55,891768
29,2024-02-19,49.8,50.06,49.3,49.97,1088195
30,2024-02-20,50.06,50.06,49.38,49.64,626086
31,2024-02-21,49.64,50.99,49.38,50.82,1074514
32,2024-02-22,50.9,50.9,50.23,50.31,466586
33,2024-02-23,50.39,50.65,49.38,49.38,1051386
34,2024-02-26,49.72,49.72,48.96,49.04,840189
35,2024-02-27,49.64,50.06,49.21,49.89,655015
36,2024-02-28,50.23,51.75,49.97,51.66,1565959
37,2024-02-29,51.66,52.51,51.49,51.66,981417
38,2024-03-01,51.66,53.1,51.66,52.59,1219253
