item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Lợi nhuận/(lỗ) trước thuế,Net profit/(loss) before tax,cfa1,3519717447917.0,2687606595302.0,3056093471161.0,3878561080509.0,2399829028939.0,1923585472508.0,1920209997754.0,2118013069944.0
Khấu hao TSCĐ và BĐSĐT,Depreciation and amortization,cfa2,1384897357200.0,1298493472359.0,1263900546872.0,1225256688185.0,892746007729.0,321516852418.0,182619094137.0,161304336971.0
Chi phí dự phòng,Provisions,cfa3,66236764877.0,94886966817.0,267350820613.0,98981408043.0,18405779937.0,23057787014.0,-37003997619.0,-181821279821.0
Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Unrealized foreign exchange gain/(loss),cfa4,29062414962.0,13364760.0,34472956246.0,42356802295.0,-54068058823.0,51724431455.0,141521813.0,180374946.0
Lãi/(lỗ) từ thanh lý tài sản cố định,Profit/loss from liquidating fixed assets,cfa5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(Lãi)/lỗ từ hoạt động đầu tư,Profit/loss from investing activities,cfa6,-1214910122729.0,-1003614453438.0,-1083636292497.0,-1130009949164.0,-1163257560126.0,-1115999082558.0,-1347443791133.0,-1298328721279.0
Chi phí lãi vay,Interest expense,cfa7,691541252469.0,741806839468.0,942709678643.0,887764661798.0,673223734156.0,421839558764.0,414430399740.0,226511404624.0
Thu lãi và cổ tức,Interest income and dividend,cfa8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Operating profit/(loss) before changes in Working Capital,cfa9,4476545114696.0,3819192785268.0,4480891181038.0,5002910691666.0,2766878931812.0,1625725019601.0,1132953224692.0,1025859185385.0
(Tăng)/giảm các khoản phải thu,(Increase)/decrease in receivables,cfa10,-986310653486.0,704235820854.0,-221106816050.0,-770938229468.0,29622920119.0,-507285025290.0,175702405592.0,-729468253445.0
(Tăng)/giảm hàng tồn kho,(Increase)/decrease in inventories,cfa11,-204398856688.0,29619952766.0,20591662150.0,-622597956965.0,77638886518.0,186108698029.0,-14174271360.0,596222869695.0
Tăng/(giảm) các khoản phải trả,Increase/(decrease) in payables,cfa12,808844079622.0,263174380566.0,-137175149477.0,126007195458.0,-854110675499.0,-115930321718.0,-400449323299.0,-283282208763.0
