item,item_en,item_id,2025,2024,2023,2022,2021,2020,2019,2018
Doanh thu bán hàng và cung cấp dịch vụ,Sales,isa1,10025550895018.0,8394604176003.0,8579347840237.0,9377949892489.0,5815207697974.0,5644088890450.0,4896700913533.0,5104605853407.0
Các khoản giảm trừ doanh thu,Sales deductions,isa2,-13939770278.0,-10937574789.0,-9429498460.0,-6022115163.0,-5396769153.0,-4336164483.0,-6869088157.0,-3950856432.0
Doanh thu thuần,Net sales,isa3,10011611124740.0,8383666601214.0,8569918341777.0,9371927777326.0,5809810928821.0,5639752725967.0,4889831825376.0,5100654996975.0
Giá vốn hàng bán,Cost of sales,isa4,-6236406433555.0,-5259571562464.0,-4859979570703.0,-5042144068004.0,-3499780319487.0,-4033887057177.0,-3643618854408.0,-3872581352224.0
Lợi nhuận gộp,Gross Profit,isa5,3775204691185.0,3124095038750.0,3709938771074.0,4329783709322.0,2310030609334.0,1605865668790.0,1246212970968.0,1228073644751.0
Doanh thu hoạt động tài chính,Financial income,isa6,447184137335.0,317755694465.0,227055551430.0,186791709886.0,466044378716.0,221805860261.0,441971991367.0,303525295129.0
Chi phí tài chính,Financial expenses,isa7,-740460894272.0,-790736452795.0,-1016426708380.0,-941632842257.0,-707477013541.0,-474525519610.0,-385656317468.0,-111471248186.0
Chi phí lãi vay,Interest expenses,isa8,-687711539661.0,-737977126660.0,-938879965835.0,-882746948990.0,-663213132564.0,-416425845956.0,-409016686932.0,-224927404624.0
Chi phí bán hàng,Selling expenses,isa9,-119704387237.0,-118200239690.0,-92540436139.0,-88908329412.0,-85073572183.0,-82735361072.0,-78371474365.0,-98584137794.0
Chi phí quản lý doanh nghiệp,General and admin expenses,isa10,-655042423158.0,-577607076180.0,-663075670866.0,-577624360997.0,-370461124107.0,-283713770081.0,-221581896835.0,-214709679120.0
Lãi/(lỗ) từ hoạt động kinh doanh,Operating profit/(loss),isa11,3546842615866.0,2672346972019.0,3042127311430.0,3985852232731.0,2387222069978.0,1901472471574.0,1909681072333.0,2105657869033.0
Thu nhập khác,Other incomes,isa12,26629351754.0,34414819717.0,21973706432.0,43804003691.0,24734212639.0,28781973202.0,25841108227.0,21940218216.0
Chi phí khác,Other expenses,isa13,-53754519703.0,-19155196434.0,-8007546701.0,-151095155913.0,-12127253678.0,-6668972268.0,-15312182806.0,-9585017305.0
"Thu nhập khác, ròng",Net other income/(expenses),isa14,-27125167949.0,15259623283.0,13966159731.0,-107291152222.0,12606958961.0,22113000934.0,10528925421.0,12355200911.0
Lãi/(lỗ) từ công ty liên doanh,Income from investments in other entities,isa15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lãi/(lỗ) trước thuế,Net accounting profit/(loss) before tax,isa16,3519717447917.0,2687606595302.0,3056093471161.0,3878561080509.0,2399829028939.0,1923585472508.0,1920209997754.0,2118013069944.0
Thuế thu nhập doanh nghiệp - hiện thời,Business income tax - current,isa17,-418774237220.0,-297477543790.0,-292077673699.0,-370027518385.0,-270987968658.0,-205948240596.0,-213396134022.0,-226730110093.0
Thuế thu nhập doanh nghiệp - hoãn lại,Business income tax - deferred,isa18,49461728314.0,5871203737.0,22642266759.0,6843413041.0,6569186967.0,-4135453010.0,13110506884.0,-6524321167.0
Chi phí thuế thu nhập doanh nghiệp,Corporate income tax expenses,isa19,-369312508906.0,-291606340053.0,-269435406940.0,-363184105344.0,-264418781691.0,-210083693606.0,-200285627138.0,-233254431260.0
Lãi/(lỗ) thuần sau thuế,Net profit/(loss) after tax,isa20,3150404939011.0,2396000255249.0,2786658064221.0,3515376975165.0,2135410247248.0,1713501778902.0,1719924370616.0,1884758638684.0
Lợi ích của cổ đông thiểu số,Minority interests,isa21,621279122750.0,402614402600.0,598341405753.0,822860384747.0,280330619117.0,85425570318.0,81030848086.0,100786786127.0
Lợi nhuận của Cổ đông của Công ty mẹ,Attributable to parent company,isa22,2529125816261.0,1993385852649.0,2188316658468.0,2692516590418.0,1855079628131.0,1628076208584.0,1638893522530.0,1783971852557.0
Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND),isa23,4669.0,4237.0,5354.0,7576.0,5220.0,5251.0,5286.0,5754.0
Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND),isa24,4669.0,4237.0,5354.0,7576.0,5220.0,5251.0,5286.0,5754.0
Lãi/(lỗ) từ công ty liên doanh (từ năm 2015),Gain/(loss) from joint ventures (from 2015),isa102,839661492013.0,717040007469.0,877175804311.0,1077442346189.0,774158791759.0,914775593286.0,907105798666.0,998823994253.0
