item,item_id,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,5018.86,4470.06,5640.84,7972.67
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,45778.94,47673.34,50819.13,54033.63
Chỉ số giá thị trường trên thu nhập (P/E),p_e,12.15,15.2,10.07,8.97
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.33,1.42,1.12,1.32
Chỉ số giá thị trường trên doanh thu thuần (P/S),p_s,3.3,3.81,2.71,2.71
Tỷ suất cổ tức,dividend_yield,0.02,0.01,0.02,0.01
Beta,beta,0.65,0.85,0.87,0.81
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,10.62,11.76,8.61,8.27
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,7.99,8.53,6.54,6.57
Tỷ suất lợi nhuận gộp biên,gross_profit_margin,37.71,37.26,43.29,46.2
Tỷ lệ lãi EBIT,ebit_margin,42.03,40.86,46.62,50.8
Tỷ lệ lãi EBITDA,ebitda_net_revenue,55.86,56.35,61.36,63.88
Tỷ suất sinh lợi trên doanh thu thuần,net_profit_margin,31.47,28.58,32.52,37.51
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,10.7,9.22,10.95,15.14
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,12.52,10.83,13.14,16.53
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,6.62,5.59,6.36,8.19
ROE bình quân 4 quý gần nhất,roe_trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,roa_trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,net_revenue,19.42,-2.17,-8.56,61.31
Tăng trưởng  lợi nhuận gộp,gross_profit,20.84,-15.79,-14.32,87.43
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,30.96,-12.06,-21.21,61.62
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,26.88,-8.91,-18.73,45.14
Tăng trưởng tổng tài sản,total_assets,10.21,4.15,2.94,6.56
Tăng trưởng nợ dài hạn,long_term_liabilities,2.98,-3.53,-4.02,-6.86
Tăng trưởng nợ phải trả,liabilities,9.86,-1.66,-3.87,-4.9
Tăng trưởng vốn chủ sở hữu,owners_equity,10.43,8.11,8.16,17.4
Tăng trưởng vốn điều lệ,charter_capital,15.0,14.96,14.96,14.95
Tỷ số thanh toán bằng tiền mặt,cash_ratio,0.59,1.38,0.77,0.28
Tỷ số thanh toán nhanh,quick_ratio,2.37,2.46,2.07,1.75
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)",quick_ratio_except_inventories_short_term_receivables_reference,1.5,1.65,1.05,0.71
Tỷ số thanh toán hiện hành (ngắn hạn),short_term_ratio,2.66,2.77,2.41,2.1
Khả năng thanh toán lãi vay,interest_coverage,6.12,4.64,4.26,5.39
Vòng quay phải thu khách hàng,receivables_turnover,3.52,2.8,2.83,3.99
Thời gian thu tiền khách hàng bình quân,days_of_sales_outstanding,103.7,130.51,128.79,91.5
Vòng quay hàng tồn kho,inventory_turnover,4.45,4.0,3.52,4.57
Thời gian tồn kho bình quân,days_of_inventory_on_hand,81.95,91.28,103.73,79.94
Vòng quay phải trả nhà cung cấp,payables_turnover,6.29,7.83,7.66,7.7
Thời gian trả tiền khách hàng bình quân,number_of_days_of_payables,58.02,46.62,47.66,47.4
Vòng quay tài sản cố định (Hiệu suất sử dụng tài sản cố định),fixed_asset_turnover,0.71,0.58,0.56,0.59
Vòng quay tổng tài sản (Hiệu suất sử dụng toàn bộ tài sản),total_asset_turnover,0.26,0.24,0.25,0.29
Vòng quay vốn chủ sở hữu,equity_turnover,0.42,0.39,0.43,0.53
Tỷ số Nợ ngắn hạn trên Tổng nợ phải trả,short_term_liabilities_to_total_liabilities,33.69,29.27,27.89,27.78
Tỷ số Nợ vay trên Tổng tài sản,debt_to_assets,27.08,28.59,30.77,33.62
Tỷ số Nợ trên Tổng tài sản,liabilities_to_assets,38.12,38.25,40.51,43.38
Tỷ số Vốn chủ sở hữu trên Tổng tài sản,equity_to_assets,61.88,61.75,59.49,56.62
Tỷ số Nợ ngắn hạn trên Vốn chủ sở hữu,short_term_liabilities_to_equity,20.76,18.13,18.99,21.28
Tỷ số Nợ vay trên Vốn chủ sở hữu,debt_to_equity,43.77,46.3,51.72,59.37
Tỷ số Nợ trên Vốn chủ sở hữu,liabilities_to_equity,61.61,61.94,68.09,76.6
Tỷ số dòng tiền HĐKD trên doanh thu thuần,accrual_ratio_cf,27.08,45.13,32.87,16.74
Khả năng chi trả nợ ngắn hạn từ dòng tiền HĐKD,cash_to_income,52.67,92.96,71.41,38.4
Khả năng chi trả nợ ngắn hạn từ lưu chuyển tiền thuần trong kỳ,net_cash_flows_short_term_liabilities,-50.32,64.2,47.45,-16.63
Tỷ lệ dồn tích (Phương pháp Cân đối kế toán),accrual_ratio_balance_sheet_method,0.0,0.0,0.0,0.0
Tỷ lệ dồn tích (Phương pháp Dòng tiền),accrual_ratio_cash_flow_method,0.0,0.0,0.0,0.0
Dòng tiền từ HĐKD trên Tổng tài sản,cash_return_to_assets,6.76,10.41,8.07,4.63
Dòng tiền từ HĐKD trên Vốn chủ sở hữu,cash_return_on_equity,10.93,16.85,13.56,8.17
Dòng tiền từ HĐKD trên Lợi nhuận thuần từ HĐKD,cash_to_income_2,76.43,141.58,92.59,39.37
Khả năng thanh toán nợ từ dòng tiền HĐKD,debt_coverage,17.74,27.2,19.92,10.67
Dòng tiền từ HĐKD trên mỗi cổ phần (CPS),cash_flow_per_share_cps,5004.79,8032.74,6891.92,4415.09
