,ticker,yearReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company
0,REE,2024,-0.02153353234701072,8394604176003,1993385852649,-0.08907797007562308,317755694465,-737977126660,8394604176003,-10937574789,8383666601214,-5259571562464,3124095038750,-790736452795,717040007469,-118200239690,-577607076180,2672346972019,34414819717,0,-19155196434,15259623283,2687606595302,-297477543790,5871203737,2396000255249,402614402600,1993385852649
1,REE,2023,-0.08515742368080015,8579347840237,2188316658468,-0.18725973081997813,227055551430,-938879965835,8579347840237,-9429498460,8569918341777,-4859979570703,3709938771074,-1016426708380,877175804311,-92540436139,-663075670866,3042127311430,21973706432,0,-8007546701,13966159731,3056093471161,-292077673699,22642266759,2786658064221,598341405753,2188316658468
2,REE,2022,0.6126594920687438,9377949892489,2692516590418,0.4514291190458067,186791709886,-882746948990,9377949892489,-6022115163,9371927777326,-5042144068004,4329783709322,-941632842257,1077442346189,-88908329412,-577624360997,3985852232731,43804003691,0,-151095155913,-107291152222,3878561080509,-370027518385,6843413041,3515376975165,822860384747,2692516590418
3,REE,2021,0.030318233969266348,5815207697974,1855079628131,0.1394304629906935,466044378716,-663213132564,5815207697974,-5396769153,5809810928821,-3499780319487,2310030609334,-707477013541,774158791759,-85073572183,-370461124107,2387222069978,24734212639,0,-12127253678,12606958961,2399829028939,-270987968658,6569186967,2135410247248,280330619117,1855079628131
4,REE,2020,0.15263092235252632,5644088890450,1628076208584,-0.006600376288815303,221805860261,-416425845956,5644088890450,-4336164483,5639752725967,-4033887057177,1605865668790,-474525519610,914775593286,-82735361072,-283713770081,1901472471574,28781973202,0,-6668972268,22113000934,1923585472508,-205948240596,-4135453010,1713501778902,85425570318,1628076208584
5,REE,2019,-0.040728891876193864,4896700913533,1638893522530,-0.08132321696615141,441971991367,-409016686932,4896700913533,-6869088157,4889831825376,-3643618854408,1246212970968,-385656317468,907105798666,-78371474365,-221581896835,1909681072333,25841108227,0,-15312182806,10528925421,1920209997754,-213396134022,13110506884,1719924370616,81030848086,1638893522530
6,REE,2018,0.02107730636452797,5104605853407,1783971852557,0.2954674212766271,303525295129,-224927404624,5104605853407,-3950856432,5100654996975,-3872581352224,1228073644751,-111471248186,998823994253,-98584137794,-214709679120,2105657869033,21940218216,0,-9585017305,12355200911,2118013069944,-226730110093,-6524321167,1884758638684,100786786127,1783971852557
7,REE,2017,0.36472055856238467,4999235436523,1377087391977,0.2596421212679086,174539941233,-104642480959,4999235436523,-4062020590,4995173415933,-3565774555516,1429398860417,-274779324595,718931362177,-94594129849,-241824868262,1711671841121,18608033177,0,-9132886630,9475146547,1721146987668,-192154568194,-6167238721,1522825180753,145737788776,1377087391977
8,REE,2016,0.3848487485817209,3663193468551,1093237014487,0.28151395462423995,176056435309,-60159491918,3663193468551,-3830862783,3659362605768,-2477729281879,1181633323889,-67669374018,387845081442,-89024177119,-220293412913,1368547876590,15277085939,0,-8071058967,7206026972,1375753903562,-214935033326,12840333566,1173659203802,80422189315,1093237014487
9,REE,2015,0.005518932859779256,2645193904607,853082411270,-0.19669909298226373,427537034206,-73966770226,2645193904607,-1809966948,2643383937659,-1752125471255,891258466404,-81044689862,37341188849,-54475770672,-181831941787,1038784287138,9651522166,0,-2759639006,6891883160,1045676170298,-146541395940,-11047960673,888086813685,35004402415,853082411270
10,REE,2014,0.08950079176286775,2630675383788,1061971178941,0.08828673248969053,459521649291,-37413873577,2630675383788,-1288909410,2629386474378,-1826827161061,802559313317,-42150610779,166498965580,-45371054248,-131322486521,1209735776640,60555687327,0,-7864058022,52691629305,1262427405945,-170939086266,7165185877,1098653505556,36682326615,1061971178941
11,REE,2013,0.0,2414569501626,975819282949,0.0,352660891530,-57146113236,2414569501626,-1162516333,2413406985293,-1810301703227,603105282066,-86225910092,0,-49602600291,-166177547374,653760115839,7675485635,428675939326,-2554580816,5120904819,1087556959984,-122072887315,10270124969,975754197638,-65085311,975819282949
