,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Cash and cash equivalents (Bn. VND),5635908856765,3022796235406,1151270686145,1830901134902,651668665185,1539577051904,1865096744967,2397186656336,960027120496,1419715236964,1036655683725,535795614565
Short-term investments (Bn. VND),1060073372989,1132366903888,1749361611727,913528242575,1328559221660,1221295628590,1138925962847,516561743653,749169998917,381491325362,249589701655,416693781070
Accounts receivable (Bn. VND),3129681988376,3780066002722,4013295895776,2986542167652,3082281525922,2137973891941,1965707145074,1130676903999,1148403790279,1368936569867,1029983840576,1002628925985
Net Inventories,1276815964044,1353834235393,1408572015872,799900814968,807507044477,987203880889,969073762968,1555629874625,1230323799872,547093860649,598432151160,544225294953
Other current assets,183295042421,235115020118,250979175707,275099902031,138617308711,112997235133,48880854277,51296869224,17305145779,30168992774,13932647991,62597867219
LONG-TERM ASSETS (Bn. VND),25076564658982,25388094448566,25341077348281,25021031112330,14521819968981,13623717107259,9511978637491,8643315301095,7291405321230,5861517471811,5474592357159,4392508231553
Long-term loans receivables (Bn. VND),0,0,150000000,0,0,0,0,0,0,0,26000000000,0
Fixed assets (Bn. VND),13961348221477,14916512381497,15841877918962,16057664537080,2584784885734,1859029456603,445423380673,492274382836,528638925974,483507065078,529399795287,41715151193
Investment in properties,2542405763957,1345379933498,1456784566540,1570332277547,1773066914071,1856448851637,1602831205980,624011258648,673433406527,584938280334,635021928112,688047083066
Long-term investments (Bn. VND),6198537115816,6560455882295,6490632669260,6261443381524,9287154637597,9214040662876,6992207022164,6274300677903,5377448671155,4369132998280,4091399245546,3628846104921
Other non-current assets,885254387865,940677946223,969213422961,688419503078,550040530278,587523822859,284736124066,88858198404,103446475208,73935379621,115460403576,33899892373
TOTAL ASSETS (Bn. VND),36362339883577,34912272846093,33914556733508,31827003374458,20530453734936,19622764795716,15499663107624,14294667348932,11396635176573,9608923457427,8403186382266,6954449715345
LIABILITIES (Bn. VND),13907555789461,14142171608105,14710864120770,15469126320834,8317804815307,8521096256250,5571294773978,5601390147595,3675493958642,2925903328756,2064935777019,1753250803816
Current liabilities (Bn. VND),4070052841712,3944551522493,4086212882813,4062369793461,3443435067856,3268741496154,3056518124052,2926952955507,2617614139511,2225588711837,1529911347882,1420506538305
Long-term liabilities (Bn. VND),9837502947749,10197620085612,10624651237957,11406756527373,4874369747451,5252354760096,2514776649926,2674437192088,1057879819131,700314616919,535024429137,332744265511
OWNER'S EQUITY(Bn.VND),22454784094116,20770101237988,19203692612738,16357877053624,12212648919629,11101668539466,9928368333646,8693277201337,7721141217931,6683020128671,6338250605247,5196623129512
Capital and reserves (Bn. VND),22454784094116,20770101237988,19203692612738,16357877053624,12212648919629,11101668539466,9928368333646,8693277201337,7721141217931,6683020128671,6338250605247,5196623129512
Other Reserves,0,0,0,0,0,0,0,0,0,42598429318,0,0
Undistributed earnings (Bn. VND),12761421317915,11802464925759,10704620223639,8963840558977,7114818742145,6005760541830,4927769386011,3642395860711,2765893850270,2349535745815,1939296988440,1353728965050
MINORITY INTERESTS,3554691280888,3452035366916,3697421830798,3055902366346,759653092112,704641629219,609526301348,658941546295,565011007076,348639776328,428096959549,0
TOTAL RESOURCES (Bn. VND),36362339883577,34912272846093,33914556733508,31827003374458,20530453734936,19622764795716,15499663107624,14294667348932,11396635176573,9608923457427,8403186382266,6954449715345
Prepayments to suppliers (Bn. VND),243554086604,184343335033,300018240913,144814816021,575197923225,230844673692,149446477449,172646944254,252254783186,81772899224,49613867487,107603315922
Short-term loans receivables (Bn. VND),0,125000000,94850000000,21383880000,466600000000,98600000000,0,0,0,0,250000000,0
"Inventories, Net (Bn. VND)",1379188278200,1408746219655,1429139313627,806472650348,813557931672,999666629701,984759591543,1580982461238,1256874302396,589859322220,644280881448,587081594462
Other current assets (Bn. VND),0,0,0,0,0,0,0,0,0,0,0,46413218136
Investment and development funds (Bn. VND),415591264689,415591264689,234678637677,234678637677,234721594748,240271674291,240077952161,239845570570,238118820390,194784660605,235641149751,70417784211
Common shares (Bn. VND),4710134000000,4097142600000,3564104840000,3100588410000,3100588410000,3100588410000,3100588410000,3100588410000,3100588410000,2696168100000,2690705390000,2636863850000
Paid-in capital (Bn. VND),4710134000000,4097142600000,3564104840000,3100588410000,3100588410000,3100588410000,3100588410000,3100588410000,3100588410000,2696168100000,2690705390000,2636863850000
Long-term borrowings (Bn. VND),9142740044801,9504888072199,9945950959393,10739972813508,4334710938577,4739198675041,2069934163314,2308624663112,899220584250,561131881423,409904067962,237768269070
Advances from customers (Bn. VND),998575490194,706892085785,810443650832,821856327767,790665979447,966231900835,968365441193,1329501182358,1169235526184,1214666814716,690740256867,562524966309
Short-term borrowings (Bn. VND),1254303152582,1237930873038,1455134067019,1233985836561,1264637519063,887611982957,1111455193347,672101562482,594470465413,429904075283,300900213273,285115492833
Good will (Bn. VND),442552235390,512950804421,583349373452,308129054139,242735059233,270180813967,800713326,2402139980,20494553214,47951873855,79412761129,0
Long-term prepayments (Bn. VND),357349937409,348026033938,328606640226,329728703772,273455227228,279357312065,259060220797,55012405147,45385172163,1257089501,273265509,467827702
Other long-term assets (Bn. VND),265849911604,286508615133,286508615133,286508615133,307894164509,791898218587,862146487612,1099528485702,1437605391646,1031513187975,902408727545,854925101755
Other long-term receivables (Bn. VND),36440426781,17286556315,33290930892,37189676300,50793122087,38712034275,32812869960,34466179457,34151299782,33818334157,42815269257,0
Long-term trade receivables (Bn. VND),36440426781,17286556315,33440930892,37218252980,50818488683,38930286119,33557936547,36128142823,36953263496,33818334157,68815269257,0
