time,open,high,low,close,volume
2014-10-01,10.52,10.72,10.48,10.65,2623810
2014-10-02,10.65,10.69,10.59,10.65,1650270
2014-10-03,10.72,10.86,10.65,10.72,2608940
2014-10-06,10.72,10.83,10.69,10.72,1947380
2014-10-07,10.72,10.72,10.62,10.62,1482910
2014-10-08,10.59,10.59,10.34,10.52,2880320
2014-10-09,10.52,10.55,10.45,10.45,1315220
2014-10-10,10.41,10.45,10.28,10.28,1577660
2014-10-13,10.24,10.31,10.17,10.21,1507810
2014-10-14,10.21,10.31,10.07,10.07,1198840
2014-10-15,10.04,10.07,9.86,10.0,2385440
2014-10-16,9.93,9.93,9.55,9.66,2173670
2014-10-17,9.66,9.83,9.66,9.83,979010
2014-10-20,9.9,9.93,9.79,9.79,813680
2014-10-21,9.79,9.83,9.73,9.79,540160
2014-10-22,9.86,9.9,9.79,9.86,1219440
2014-10-23,9.76,9.86,9.69,9.73,947110
2014-10-24,9.73,9.79,9.49,9.66,917350
2014-10-27,9.59,9.59,9.28,9.31,1227210
2014-10-28,9.21,9.52,9.21,9.49,365790
2014-10-29,9.49,9.73,9.49,9.69,397690
2014-10-30,9.76,10.1,9.73,9.9,5041250
2014-10-31,9.9,10.07,9.83,10.0,1437970
2014-11-03,10.07,10.1,9.93,9.97,1016800
2014-11-04,9.93,9.93,9.76,9.76,1906410
2014-11-05,9.79,9.9,9.69,9.83,1052960
2014-11-06,9.93,9.93,9.79,9.79,358200
2014-11-07,9.79,9.86,9.73,9.83,701570
2014-11-10,9.86,10.0,9.86,9.9,1340380
2014-11-11,9.97,9.97,9.86,9.86,582260
2014-11-12,9.9,9.9,9.86,9.86,316160
2014-11-13,9.86,9.9,9.83,9.83,619610
2014-11-14,9.79,9.86,9.69,9.79,797060
2014-11-17,9.79,9.83,9.79,9.79,197120
2014-11-18,9.79,9.83,9.69,9.69,523670
2014-11-19,9.69,9.69,9.55,9.62,766010
2014-11-20,9.62,9.76,9.62,9.76,340490
2014-11-21,9.76,9.86,9.62,9.66,755570
2014-11-24,9.55,9.62,9.49,9.52,690220
2014-11-25,9.52,9.62,9.52,9.59,254840
2014-11-26,9.62,9.62,9.45,9.52,522840
2014-11-27,9.52,9.52,9.38,9.52,617200
2014-11-28,9.52,9.59,9.45,9.45,377020
2014-12-01,9.49,9.52,9.42,9.49,477700
2014-12-02,9.49,9.55,9.49,9.52,201910
2014-12-03,9.52,9.73,9.52,9.66,534630
2014-12-04,9.66,9.73,9.62,9.62,375330
2014-12-05,9.62,9.69,9.59,9.66,529950
2014-12-08,9.73,9.86,9.69,9.79,1235800
2014-12-09,9.76,9.76,9.52,9.59,949820
2014-12-10,9.49,9.9,9.49,9.86,1022150
2014-12-11,9.79,9.9,9.69,9.79,810620
2014-12-12,9.79,9.83,9.76,9.79,162920
2014-12-15,9.79,9.79,9.62,9.62,718750
2014-12-16,9.62,9.62,9.45,9.49,1148270
