item,item_id,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,3229.59,3974.57,4368.94,4441.71
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,18401.02,18685.49,18268.55,17302.68
Chỉ số giá thị trường trên thu nhập (P/E),p_e,7.43,6.49,5.47,4.93
Chỉ số giá thị trường trên giá trị sổ sách (P/B),p_b,1.3,1.38,1.31,1.27
Tỷ suất cổ tức,dividend_yield,0.04,0.04,0.04,0.0
Beta,beta,0.84,0.88,1.01,1.07
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,17.56,21.75,24.8,26.49
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,1.65,2.12,2.42,2.41
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,6.38,6.61,8.16,7.45
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,3.83,3.34,4.76,3.46
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,2.92,3.61,3.89,4.31
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,32.32,32.53,33.21,40.31
ROE bình quân 4 quý gần nhất,roe_trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,roa_trailling,0.0,0.0,0.0,0.0
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,-6.98,4.67,17.26,42.64
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,-6.94,4.64,17.22,42.54
Tăng trưởng tổng tài sản,total_assets,18.73,20.2,18.25,15.18
Tăng trưởng vốn chủ sở hữu,owners_equity,13.25,17.62,21.42,30.15
Tăng trưởng vốn điều lệ,charter_capital,15.0,15.0,15.0,25.0
Tăng trưởng dư nợ cho vay,deposits_from_customers,18.27,19.09,17.86,14.31
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,8.91,11.31,16.61,8.96
Tăng trưởng thu nhập lãi thuần,net_interest_income,-3.2,11.36,6.06,24.22
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,12.3,25.34,10.56,-16.41
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,-2.84,10.83,-17.13,21.85
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,1.16,3.38,27.27,12.07
Tăng trưởng tổng chi phí HĐKD,operating_expenses,0.2,0.26,-6.3,41.01
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,75.77,76.56,78.06,78.56
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,66.95,67.21,67.84,68.06
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,10.43,11.0,11.36,11.1
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,9.21,9.66,9.87,9.61
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.01,-0.01,-0.01,-0.01
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,97.24,97.79,96.62,96.88
